Skor Mentah,Nilai IQ,Keterangan,Outcome
63,129,Di Atas Rata-Rata,3
63,129,Di Atas Rata-Rata,3
63,129,Di Atas Rata-Rata,3
62,127,Di Atas Rata-Rata,3
62,127,Di Atas Rata-Rata,3
60,124,Di Atas Rata-Rata,3
60,124,Di Atas Rata-Rata,3
58,121,Di Atas Rata-Rata,3
58,121,Di Atas Rata-Rata,3
58,121,Di Atas Rata-Rata,3
58,121,Di Atas Rata-Rata,3
58,121,Di Atas Rata-Rata,3
58,121,Di Atas Rata-Rata,3
58,121,Di Atas Rata-Rata,3
57,120,Di Atas Rata-Rata,3
57,120,Di Atas Rata-Rata,3
57,120,Di Atas Rata-Rata,3
57,120,Di Atas Rata-Rata,3
57,120,Di Atas Rata-Rata,3
57,120,Di Atas Rata-Rata,3
55,117,Di Atas Rata-Rata,3
55,117,Di Atas Rata-Rata,3
55,117,Di Atas Rata-Rata,3
55,117,Di Atas Rata-Rata,3
53,114,Di Atas Rata-Rata,3
53,114,Di Atas Rata-Rata,3
53,114,Di Atas Rata-Rata,3
53,114,Di Atas Rata-Rata,3
53,114,Di Atas Rata-Rata,3
53,114,Di Atas Rata-Rata,3
53,114,Di Atas Rata-Rata,3
53,114,Di Atas Rata-Rata,3
53,114,Di Atas Rata-Rata,3
53,114,Di Atas Rata-Rata,3
52,113,Di Atas Rata-Rata,3
52,113,Di Atas Rata-Rata,3
52,113,Di Atas Rata-Rata,3
52,113,Di Atas Rata-Rata,3
52,113,Di Atas Rata-Rata,3
50,110,Di Atas Rata-Rata,3
50,110,Di Atas Rata-Rata,3
50,110,Di Atas Rata-Rata,3
50,110,Di Atas Rata-Rata,3
50,110,Di Atas Rata-Rata,3
50,110,Di Atas Rata-Rata,3
50,110,Di Atas Rata-Rata,3
50,110,Di Atas Rata-Rata,3
50,110,Di Atas Rata-Rata,3
50,110,Di Atas Rata-Rata,3
48,107,Rata-Rata,2
48,107,Rata-Rata,2
48,107,Rata-Rata,2
48,107,Rata-Rata,2
48,107,Rata-Rata,2
48,107,Rata-Rata,2
48,107,Rata-Rata,2
48,107,Rata-Rata,2
48,107,Rata-Rata,2
48,107,Rata-Rata,2
48,107,Rata-Rata,2
48,107,Rata-Rata,2
48,107,Rata-Rata,2
48,107,Rata-Rata,2
48,107,Rata-Rata,2
48,107,Rata-Rata,2
47,106,Rata-Rata,2
47,106,Rata-Rata,2
47,106,Rata-Rata,2
47,106,Rata-Rata,2
47,106,Rata-Rata,2
47,106,Rata-Rata,2
47,106,Rata-Rata,2
47,106,Rata-Rata,2
47,106,Rata-Rata,2
45,103,Rata-Rata,2
45,103,Rata-Rata,2
45,103,Rata-Rata,2
45,103,Rata-Rata,2
45,103,Rata-Rata,2
45,103,Rata-Rata,2
45,103,Rata-Rata,2
45,103,Rata-Rata,2
45,103,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
43,100,Rata-Rata,2
42,99,Rata-Rata,2
42,99,Rata-Rata,2
42,99,Rata-Rata,2
42,99,Rata-Rata,2
42,99,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
40,96,Rata-Rata,2
38,93,Rata-Rata,2
38,93,Rata-Rata,2
38,93,Rata-Rata,2
38,93,Rata-Rata,2
38,93,Rata-Rata,2
38,93,Rata-Rata,2
38,93,Rata-Rata,2
38,93,Rata-Rata,2
38,93,Rata-Rata,2
37,92,Rata-Rata,2
37,92,Rata-Rata,2
37,92,Rata-Rata,2
37,92,Rata-Rata,2
37,92,Rata-Rata,2
37,92,Rata-Rata,2
35,89,Di Bawah Rata-Rata,1
35,89,Di Bawah Rata-Rata,1
35,89,Di Bawah Rata-Rata,1
35,89,Di Bawah Rata-Rata,1
35,89,Di Bawah Rata-Rata,1
35,89,Di Bawah Rata-Rata,1
35,89,Di Bawah Rata-Rata,1
35,89,Di Bawah Rata-Rata,1
35,89,Di Bawah Rata-Rata,1
35,89,Di Bawah Rata-Rata,1
33,86,Di Bawah Rata-Rata,1
33,86,Di Bawah Rata-Rata,1
33,86,Di Bawah Rata-Rata,1
33,86,Di Bawah Rata-Rata,1
33,86,Di Bawah Rata-Rata,1
33,86,Di Bawah Rata-Rata,1
33,86,Di Bawah Rata-Rata,1
33,86,Di Bawah Rata-Rata,1
33,86,Di Bawah Rata-Rata,1
33,86,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
32,85,Di Bawah Rata-Rata,1
30,82,Di Bawah Rata-Rata,1
28,79,Di Bawah Rata-Rata,1
28,79,Di Bawah Rata-Rata,1
27,78,Di Bawah Rata-Rata,1
27,78,Di Bawah Rata-Rata,1
27,78,Di Bawah Rata-Rata,1
27,78,Di Bawah Rata-Rata,1
27,78,Di Bawah Rata-Rata,1
27,78,Di Bawah Rata-Rata,1
25,75,Di Bawah Rata-Rata,1
25,75,Di Bawah Rata-Rata,1
25,75,Di Bawah Rata-Rata,1
23,72,Di Bawah Rata-Rata,1
23,72,Di Bawah Rata-Rata,1
23,72,Di Bawah Rata-Rata,1
20,68,Di Bawah Rata-Rata,1
18,65,Di Bawah Rata-Rata,1
17,63,Di Bawah Rata-Rata,1
12,56,Di Bawah Rata-Rata,1
38,93,Rata-Rata,2
58,120,Di Atas Rata-Rata,3
62,127,Di Atas Rata-Rata,3
33,86,Di Bawah Rata-Rata,1
70,138,Di Atas Rata-Rata,3
68,136,Di Atas Rata-Rata,3
68,136,Di Atas Rata-Rata,3
38,93,Rata-Rata,2
